recno,Star,Teff,logg,[Fe/H],Age,e_Age,vsini,vmac,[S/Fe],e_[S/Fe],o_[S/Fe],Planet,Pop,S/N,SimbadName,_RA,_DE
115,"HD171587",5412.0,4.64,-0.64,8.798,4.225,1.541,2.226,0.225,0.071,"1-6757","none","thin ",492.28,"HD171587",279.03841,-10.89071
420,"HD161555",5850.0,4.09,0.12,5.003,0.723,2.559,4.091,0.039,0.029,"2","none","thin ",131.84,"HD161555",266.6325,-7.98566
181,"HD161098",5560.0,4.47,-0.27,8.335,3.912,0.664,2.739,-0.026,0.05,"2","none","thin ",415.81,"HD161098",265.93438,-3.91787
706,"HD163102",6433.0,4.38,0.0,1.175,0.827,6.163,5.719,-0.022,0.057,"2","none","thin ",122.0,"HD163102",268.62429,-3.46246
425,"HD177758",5862.0,4.35,-0.58,12.655,0.667,1.802,3.603,0.257,0.044,"2","none","thick",282.7,"HD177758",286.6055,-11.89741
556,"HD180409",6013.0,4.42,-0.17,4.073,2.101,2.305,3.911,-0.026,0.029,"2","none","thin ",243.2,"HD180409",289.21756,-10.97178
375,"HD183658",5803.0,4.35,0.03,4.651,2.509,0.864,3.452,0.001,0.025,"2","none","thin ",370.13,"HD183658",292.71966,-6.51442
660,"HD179346",6229.0,4.59,-0.03,0.794,0.675,4.147,4.372,0.061,0.04,"2","none","thin ",113.47,"HD179346",288.11424,-5.41453
649,"HD195200",6201.0,4.28,-0.08,3.054,1.306,1.841,4.877,0.05,0.032,"2","none","thin ",109.6,"HD195200",307.50676,-4.43765
337,"HD175179",5764.0,4.42,-0.66,12.839,0.503,2.548,3.22,0.378,0.047,"2","none","thick",175.98,"HD175179",283.59668,-4.60517
